metric,favor_dir,g1_mean,g1_median,g2_mean,g2_median,diff_g2_minus_g1_mean,p_two_sided,p_g2_smaller,p_g2_larger,p_favor_g2,cliffs_delta_g1_vs_g2,n1,n2
c2_tbr_geQ67_median_gap_s,g2_smaller,4.222271615384778,3.5104230000002588,5.336796363636477,3.9895329999999554,1.1145247482516991,0.6850689949718154,0.6784942578007245,0.3425344974859077,0.6784942578007245,-0.1048951048951049,13,11
c1_tbr_geQ67_first_reach_s,g2_smaller,3.434749230769223,0.0,5.067649833333324,0.4907034999999995,1.6329006025641015,0.653334990377068,0.6946303857780438,0.326667495188534,0.6946303857780438,-0.10256410256410253,13,12
c1_tbr_leQ25_median_sustain_s,g2_larger,4.105514769230745,1.9877374999997528,1.8371597083334745,1.987808500000014,-2.268355060897271,0.6438382008132897,0.32191910040664484,0.6973283303317466,0.6973283303317466,0.11538461538461542,13,12
d_tbr_leQ25_median_gap_s,g2_smaller,1.7686859166663123,0.23069250000082775,2.5477840000007856,0.5045610000005354,0.7790980833344734,0.6441280160472187,0.7029838297004792,0.32206400802360935,0.7029838297004792,-0.12962962962962965,12,9
d_tbr_geQ67_mean_sustain_s,g2_larger,1.2027878273845296,0.3324546307976508,27.407651980890684,-1.171697435770977,26.204864153506154,0.602068013998415,0.3010340069992075,0.7188286974104274,0.7188286974104274,0.13286713286713292,13,11
c2_tbr_leQ25_mean_gap_s,g2_smaller,10.012785170426575,7.926440293103986,13.445896938841342,11.18142924390356,3.4331117684147667,0.5940323405990415,0.7271010146953929,0.29701617029952077,0.7271010146953929,-0.14814814814814814,12,9
c2_tbr_geQ67_prop_focus,g2_larger,0.369630746799908,0.3384615384615385,0.3762801649075771,0.24019141285956008,0.006649418107669114,0.5679151111448195,0.28395755557240976,0.7341842789890765,0.7341842789890765,0.14102564102564097,13,12
d_tbr_trend_r,g2_smaller,-0.12742201281185456,-0.2112649810760301,-0.046121662871781745,-0.044771775261543724,0.08130034994007282,0.5679151111448195,0.7341842789890765,0.28395755557240976,0.7341842789890765,-0.14102564102564108,13,12
d_tbr_geQ67_prop_focus,g2_larger,0.03915131445879523,0.008529565672422856,0.045978740920155005,-0.09000237537848915,0.006827426461359774,0.5679151111448195,0.28395755557240976,0.7341842789890765,0.7341842789890765,0.14102564102564097,13,12
c1_tbr_leQ50_mean_gap_s,g2_smaller,4.900439032393934,4.649619231707527,5.682007710470027,4.813213025322275,0.7815686780760931,0.5679151111448195,0.7341842789890765,0.28395755557240976,0.7341842789890765,-0.14102564102564108,13,12
